data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2020-12-01 01:33:05.414;5081;5081 EEI BRIZOLINHA                                     ;0;20;20;0;36;36;0;0;0;0;0;0;0;56
2020-12-01 01:33:05.415;5082;5082 IEI MEDIANEIRA                                     ;0;33;33;0;42;42;0;0;0;0;0;0;0;75
2020-12-01 01:33:05.417;5083;5083 EEI CASA DE NAZARE CENTRO DE APOIO AO MENOR        ;0;62;62;0;45;45;0;0;0;0;0;0;0;107
2020-12-01 01:33:05.418;5084;5084 EEI CANTINHO DA CRIANÇA                            ;0;31;31;0;23;23;0;0;0;0;0;0;0;54
2020-12-01 01:33:05.419;5085;5085 EEI BATILANOS                                      ;0;20;20;0;22;22;0;0;0;0;0;0;0;42
2020-12-01 01:33:05.420;5086;5086 EEI ARAPEÍ                                         ;0;55;55;0;33;33;0;0;0;0;0;0;0;88
2020-12-01 01:33:05.421;5087;5087 IEI NUCLEO SAO FRANCISCO                           ;0;47;47;0;61;61;0;0;0;0;0;0;0;108
2020-12-01 01:33:05.422;5088;5088 IEI VINDE A MIM AS CRIANCINHAS                     ;0;53;53;0;69;69;0;0;0;0;0;0;0;122
2020-12-01 01:33:05.429;5089;5089 EEI VÓ MARIA                                       ;0;29;29;0;22;22;0;0;0;0;0;0;0;51
2020-12-01 01:33:05.430;5091;5091 IEI MADRE BRIGIDA POSTORINO                        ;0;17;17;0;26;26;0;0;0;0;0;0;0;43
2020-12-01 01:33:05.431;5097;5097 EEI PASSO A PASSO                                  ;0;18;18;0;20;20;0;0;0;0;0;0;0;38
2020-12-01 01:33:05.432;5098;5098 EEI MENINO JESUS                                   ;0;23;23;0;23;23;0;0;0;0;0;0;0;46
2020-12-01 01:33:05.433;5099;5099 EEI AMIGO SPINELLI                                 ;0;76;76;0;48;48;0;0;0;0;0;0;0;124
2020-12-01 01:33:05.434;5100;5100 IEI ISABEL VIEIRA                                  ;0;39;39;0;94;94;0;0;0;0;0;0;0;133
2020-12-01 01:33:05.436;5102;5102 IEI RENASCER VILA AMERICA                          ;0;46;46;0;38;38;0;0;0;0;0;0;0;84
2020-12-01 01:33:05.437;5105;5105 EEI ANANDA MARGA RESTINGA VELHA                    ;0;10;10;0;47;47;0;0;0;0;0;0;0;57
2020-12-01 01:33:05.438;5106;5106 EEI NOVA SANTA RITA                                ;0;34;34;0;49;49;0;0;0;0;0;0;0;83
2020-12-01 01:33:05.748;5107;5107 EEI ARCO IRIS I                                    ;0;0;0;0;63;63;0;0;0;0;0;0;0;63
2020-12-01 01:33:05.749;5108;5108 EEI PADRE PEDRO LEONARDI I                         ;0;36;36;0;49;49;0;0;0;0;0;0;0;85
2020-12-01 01:33:05.750;5109;5109 EEI ANANDA MARGA RESTINGA NOVA 1                   ;0;10;10;0;42;42;0;0;0;0;0;0;0;52
2020-12-01 01:33:05.751;5110;5110 EEI ANANDA MARGA JUCA BATISTA                      ;0;60;60;0;100;100;0;0;0;0;0;0;0;160
2020-12-01 01:33:05.753;5111;5111 EEI ANANDA MARGA BARRO VERMELHO                    ;0;20;20;0;44;44;0;0;0;0;0;0;0;64
2020-12-01 01:33:05.754;5112;5112 EEI SANTA CATARINA DA RESTINGA                     ;0;56;56;0;48;48;0;0;0;0;0;0;0;104
2020-12-01 01:33:05.755;5113;5113 EEI  ANJINHO DA GUARDA                             ;0;117;117;0;74;74;0;0;0;0;0;0;0;191
2020-12-01 01:33:05.756;5114;5114 EEI CAPELA NAVEGANTES                              ;0;10;10;0;52;52;0;0;0;0;0;0;0;62
2020-12-01 01:33:05.757;5115;5115 IEI SANTA ANITA                                    ;0;55;55;0;44;44;0;0;0;0;0;0;0;99
2020-12-01 01:33:05.759;5116;5116 IEI COLORINDO MEU DIA                              ;0;51;51;0;46;46;0;0;0;0;0;0;0;97
